Supplier,Supplier Code,Section,Season,Supp.Art.Code,Article Code,Article Name,Color Name,Color Code,Treatment Name,Treatment Code,Composition,Weave,Stretch,Construction,Weight GSM,Width CM,Dye Type,Care Label,Barcode/QR,Base Price EUR,Color Hex,Image URL,,Image
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1124932,112-4932,PINO,ARGAN,EM749,HARDY,X1200,60% CO 40% PA,PLAIN,RIGID,,200,150,,,,4.4,,,,
NATUREL KUMAS,DOS-0007,MUSTANG AW,AW 26-27,BESTE,620-2004,VICTORIA,BLACK,V1,,,62% PES 33% VIS 5% EA,TWILL,BI-STR,,330,140,PD,,,4.25,,,,
NATUREL KUMAS,DOS-0007,MUSTANG AW,AW 26-27,BESTE,620-2010,VIRGINNIA,BITTER,CM940,,,62% PES 33% VIS 5% EA,TWILL,BI-STR,,350,140,PD,,,5.1,,,,
NATUREL KUMAS,DOS-0007,MUSTANG AW,AW 26-27,BESTE,620-2010,VIRGINNIA,MERLOT,RM700,,,62% PES 33% VIS 5% EA,TWILL,BI-STR,,350,140,PD,,,5.1,#802E45,—,,
NATUREL KUMAS,DOS-0007,MUSTANG AW,AW 26-27,BESTE,620-2010,VIRGINNIA,NOUGAT,CM730,,,62% PES 33% VIS 5% EA,TWILL,BI-STR,,350,140,PD,,,5.1,,,,
DAYLIGHT,DOS-0009,MUSTANG AW,AW 26-27,10443-NEW CHRONOS,330-8506,PRINCE,BLACK,XM001,,,39% CO 55% VIS 6% EA,TWILL,BI-STR,,350,135,,,,5.1,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1374819 - 10444-CHROMOSOME,137-4819,PRESLEY,STEEL,TM605,MAR-LEN,TX84,39% CO 55% VIS 6% EA,TWILL,BI-STR,,325,144,,,,5,,,,
DAYLIGHT,DOS-0009,MUSTANG AW,AW 26-27,10444-CHROMOSOME,330-8550,PRESLEY,SANGUE,RM800,,,39% CO 55% VIS 6% EA,TWILL,BI-STR,,300,135,,,,5,,,,
DAYLIGHT,DOS-0009,MUSTANG AW,AW 26-27,138-NORTON,330-8520,PRIMADONA,NAVAL,NM905,,,95% CO 5% EA,TWILL,BI-STR,,300,130,,,,5.5,,,,
DAYLIGHT,DOS-0009,MUSTANG AW,AW 26-27,138-NORTON,330-8520,PRIMADONA,MELON,OM080,,,95% CO 5% EA,TWILL,BI-STR,,300,130,,,,5.5,,,,
DAYLIGHT,DOS-0009,MUSTANG AW,AW 26-27,138-NORTON,330-8520,PRIMADONA,STEEL,TM100,,,95% CO 5% EA,TWILL,BI-STR,,300,130,,,,5.5,,,,
SUZER TEKSTIL,DOS-0001,CHARME SS,SS25,878240,878240,MELANI,,,,,100% CO,SATEEN,RIGID,60/1 - 60/1,125,155,,,,4.1,,,,
